caseprovinceid,casedate,totalcases,numberdeaths
59,2022-02-26,347729,2851
48,2022-02-26,524203,3920
47,2022-02-26,128263,1137
46,2022-02-26,130277,1675
35,2022-02-26,1098695,11939
24,2022-02-26,920174,14224
10,2022-02-26,23443,65
13,2022-02-26,36417,301
12,2022-02-26,45351,192
11,2022-02-26,13361,16
60,2022-02-26,3438,21
61,2022-02-26,8656,19
62,2022-02-26,2690,5
99,2022-02-26,13,0
1,2022-02-26,3282710,36365
59,2022-03-05,350329,2903
48,2022-03-05,527591,3974
47,2022-03-05,129251,1151
46,2022-03-05,131526,1690
35,2022-03-05,1111423,12062
24,2022-03-05,927786,14333
10,2022-03-05,26197,69
13,2022-03-05,38937,309
12,2022-03-05,46719,207
11,2022-03-05,16604,16
60,2022-03-05,3495,22
61,2022-03-05,9107,19
62,2022-03-05,3017,5
99,2022-03-05,13,0
1,2022-03-05,3321995,36760
59,2022-03-12,352319,2932
48,2022-03-12,530835,4010
47,2022-03-12,130082,1179
46,2022-03-12,132681,1710
35,2022-03-12,1123709,12247
24,2022-03-12,935274,14422
10,2022-03-12,30100,76
13,2022-03-12,42320,320
12,2022-03-12,48076,217
11,2022-03-12,19603,16
60,2022-03-12,3562,23
61,2022-03-12,9487,20
62,2022-03-12,3262,5
99,2022-03-12,13,0
1,2022-03-12,3361323,37177
59,2022-03-19,353778,2966
48,2022-03-19,534542,4040
47,2022-03-19,130977,1211
46,2022-03-19,133928,1726
35,2022-03-19,1136521,12329
24,2022-03-19,943732,14502
10,2022-03-19,33834,86
13,2022-03-19,45101,336
12,2022-03-19,50534,228
11,2022-03-19,22151,16
60,2022-03-19,3640,23
61,2022-03-19,9841,21
62,2022-03-19,3370,5
99,2022-03-19,13,0
1,2022-03-19,3401962,37489
59,2022-03-26,355299,2983
48,2022-03-26,538918,4070
47,2022-03-26,132172,1232
46,2022-03-26,135214,1744
35,2022-03-26,1151090,12397
24,2022-03-26,957152,14569
10,2022-03-26,36624,100
13,2022-03-26,48197,349
12,2022-03-26,53825,241
11,2022-03-26,24747,17
60,2022-03-26,3737,24
61,2022-03-26,10374,21
62,2022-03-26,3441,6
99,2022-03-26,13,0
1,2022-03-26,3450803,37753
59,2022-04-02,357242,3004
48,2022-04-02,544119,4102
47,2022-04-02,133204,1255
46,2022-04-02,136573,1751
35,2022-04-02,1169361,12460
24,2022-04-02,977011,14648
10,2022-04-02,39312,115
13,2022-04-02,51854,358
12,2022-04-02,58398,252
11,2022-04-02,27271,19
60,2022-04-02,3855,24
61,2022-04-02,10873,21
62,2022-04-02,3506,7
99,2022-04-02,13,0
1,2022-04-02,3512592,38016
59,2022-04-09,359002,3036
48,2022-04-09,550176,4141
47,2022-04-09,134252,1275
46,2022-04-09,138271,1759
35,2022-04-09,1192437,12548
24,2022-04-09,999276,14788
10,2022-04-09,41255,128
13,2022-04-09,55812,368
12,2022-04-09,69899,271
11,2022-04-09,29649,20
60,2022-04-09,3953,24
61,2022-04-09,11098,21
62,2022-04-09,3531,7
99,2022-04-09,13,0
1,2022-04-09,3588624,38386
59,2022-04-16,361034,3077
48,2022-04-16,556250,4189
47,2022-04-16,135099,1295
46,2022-04-16,139465,1774
35,2022-04-16,1217574,12629
24,2022-04-16,1018813,14961
10,2022-04-16,42576,143
13,2022-04-16,58768,378
12,2022-04-16,79289,286
11,2022-04-16,31706,22
60,2022-04-16,4015,24
61,2022-04-16,11136,21
62,2022-04-16,3531,7
99,2022-04-16,13,0
1,2022-04-16,3659269,38806
59,2022-04-23,363302,3147
48,2022-04-23,562895,4252
47,2022-04-23,135926,1310
46,2022-04-23,140931,1792
35,2022-04-23,1238060,12728
24,2022-04-23,1034271,15138
10,2022-04-23,43538,156
13,2022-04-23,60756,384
12,2022-04-23,85123,307
11,2022-04-23,33525,24
60,2022-04-23,4125,24
61,2022-04-23,11243,22
62,2022-04-23,3531,7
99,2022-04-23,13,0
1,2022-04-23,3717239,39291
59,2022-04-30,365577,3226
48,2022-04-30,568692,4315
47,2022-04-30,136667,1324
46,2022-04-30,141973,1819
35,2022-04-30,1258137,12825
24,2022-04-30,1045749,15302
10,2022-04-30,44251,165
13,2022-04-30,62148,399
12,2022-04-30,89225,330
11,2022-04-30,34935,26
60,2022-04-30,4203,25
61,2022-04-30,11348,22
62,2022-04-30,3531,7
99,2022-04-30,13,0
1,2022-04-30,3766449,39785
59,2022-05-07,367559,3307
48,2022-05-07,573557,4377
47,2022-05-07,137376,1343
46,2022-05-07,142875,1847
35,2022-05-07,1272972,12962
24,2022-05-07,1054162,15422
10,2022-05-07,44788,171
13,2022-05-07,63486,406
12,2022-05-07,92781,349
11,2022-05-07,35947,29
60,2022-05-07,4271,25
61,2022-05-07,11411,22
62,2022-05-07,3531,7
99,2022-05-07,13,0
1,2022-05-07,3804729,40267
59,2022-05-14,369202,3398
48,2022-05-14,577272,4436
47,2022-05-14,137840,1364
46,2022-05-14,143603,1913
35,2022-05-14,1284904,13063
24,2022-05-14,1060161,15533
10,2022-05-14,45196,176
13,2022-05-14,64490,411
12,2022-05-14,95802,371
11,2022-05-14,36785,33
60,2022-05-14,4321,25
61,2022-05-14,11426,22
62,2022-05-14,3531,7
99,2022-05-14,13,0
1,2022-05-14,3834546,40752
59,2022-05-21,370559,3469
48,2022-05-21,580257,4489
47,2022-05-21,138193,1376
46,2022-05-21,144140,1928
35,2022-05-21,1294447,13159
24,2022-05-21,1064273,15592
10,2022-05-21,45573,179
13,2022-05-21,65258,416
12,2022-05-21,97938,387
11,2022-05-21,37383,33
60,2022-05-21,4349,25
61,2022-05-21,11433,22
62,2022-05-21,3531,7
99,2022-05-21,13,0
1,2022-05-21,3857347,41082
59,2022-05-28,371720,3547
48,2022-05-28,582613,4526
47,2022-05-28,138558,1386
46,2022-05-28,144556,1980
35,2022-05-28,1301018,13223
24,2022-05-28,1068193,15640
10,2022-05-28,45964,183
13,2022-05-28,65812,419
12,2022-05-28,99688,397
11,2022-05-28,37850,33
60,2022-05-28,4381,26
61,2022-05-28,11466,22
62,2022-05-28,3531,7
99,2022-05-28,13,0
1,2022-05-28,3875363,41389
59,2022-06-04,372611,3614
48,2022-06-04,584526,4563
47,2022-06-04,138830,1396
46,2022-06-04,144895,2004
35,2022-06-04,1306890,13285
24,2022-06-04,1072381,15676
10,2022-06-04,46424,185
13,2022-06-04,66345,421
12,2022-06-04,101330,415
11,2022-06-04,38415,34
60,2022-06-04,4399,26
61,2022-06-04,11495,22
62,2022-06-04,3531,7
99,2022-06-04,13,0
1,2022-06-04,3892085,41648
59,2022-06-11,373336,3682
48,2022-06-11,586069,4580
47,2022-06-11,139224,1412
46,2022-06-11,145123,2015
35,2022-06-11,1312185,13336
24,2022-06-11,1077088,15702
10,2022-06-11,46891,188
13,2022-06-11,66816,422
12,2022-06-11,103258,428
11,2022-06-11,39081,40
60,2022-06-11,4412,26
61,2022-06-11,11508,22
62,2022-06-11,3531,7
99,2022-06-11,13,0
1,2022-06-11,3908535,41860
59,2022-06-18,373974,3722
48,2022-06-18,587252,4593
47,2022-06-18,139453,1424
46,2022-06-18,145326,2025
35,2022-06-18,1316767,13358
24,2022-06-18,1082634,15731
10,2022-06-18,47353,191
13,2022-06-18,67241,422
12,2022-06-18,104971,436
11,2022-06-18,39732,45
60,2022-06-18,4432,26
61,2022-06-18,11511,22
62,2022-06-18,3531,7
99,2022-06-18,13,0
1,2022-06-18,3924190,42002
59,2022-06-25,374594,3747
48,2022-06-25,588168,4614
47,2022-06-25,139661,1427
46,2022-06-25,145498,2043
35,2022-06-25,1321827,13388
24,2022-06-25,1089720,15761
10,2022-06-25,47773,193
13,2022-06-25,67725,425
12,2022-06-25,106633,441
11,2022-06-25,40460,45
60,2022-06-25,4456,26
61,2022-06-25,11511,22
62,2022-06-25,3531,7
99,2022-06-25,13,0
1,2022-06-25,3941570,42139
59,2022-07-02,375357,3788
48,2022-07-02,589206,4625
47,2022-07-02,139871,1431
46,2022-07-02,145623,2047
35,2022-07-02,1328710,13431
24,2022-07-02,1099715,15810
10,2022-07-02,48179,194
13,2022-07-02,68493,429
12,2022-07-02,108366,448
11,2022-07-02,41417,45
60,2022-07-02,4482,26
61,2022-07-02,11511,22
62,2022-07-02,3531,7
99,2022-07-02,13,0
1,2022-07-02,3964474,42303
59,2022-07-09,376329,3823
48,2022-07-09,590546,4643
47,2022-07-09,140080,1434
46,2022-07-09,145853,2053
35,2022-07-09,1336949,13469
24,2022-07-09,1111410,15876
10,2022-07-09,48593,196
13,2022-07-09,69537,433
12,2022-07-09,109982,455
11,2022-07-09,42602,46
60,2022-07-09,4510,26
61,2022-07-09,11511,22
62,2022-07-09,3531,7
99,2022-07-09,13,0
1,2022-07-09,3991446,42483
59,2022-07-16,377372,3855
48,2022-07-16,592052,4656
47,2022-07-16,140289,1438
46,2022-07-16,146024,2056
35,2022-07-16,1347728,13506
24,2022-07-16,1124655,15992
10,2022-07-16,48954,200
13,2022-07-16,70541,438
12,2022-07-16,111769,461
11,2022-07-16,44121,48
60,2022-07-16,4566,26
61,2022-07-16,11511,22
62,2022-07-16,3531,7
99,2022-07-16,13,0
1,2022-07-16,4023126,42705
59,2022-07-23,378291,3908
48,2022-07-23,593842,4670
47,2022-07-23,140670,1448
46,2022-07-23,146266,2061
35,2022-07-23,1360028,13579
24,2022-07-23,1137528,16112
10,2022-07-23,49412,203
13,2022-07-23,71479,443
12,2022-07-23,113669,467
11,2022-07-23,45645,49
60,2022-07-23,4603,26
61,2022-07-23,11511,22
62,2022-07-23,3531,7
99,2022-07-23,13,0
1,2022-07-23,4056488,42995
59,2022-07-30,379274,3940
48,2022-07-30,595513,4691
47,2022-07-30,141051,1459
46,2022-07-30,146524,2067
35,2022-07-30,1371369,13656
24,2022-07-30,1147765,16210
10,2022-07-30,49748,207
13,2022-07-30,72226,447
12,2022-07-30,115417,468
11,2022-07-30,46818,49
60,2022-07-30,4682,26
61,2022-07-30,11511,22
62,2022-07-30,3531,7
99,2022-07-30,13,0
1,2022-07-30,4085442,43249
59,2022-08-06,380174,3995
48,2022-08-06,597221,4722
47,2022-08-06,141432,1469
46,2022-08-06,146874,2079
35,2022-08-06,1381780,13748
24,2022-08-06,1155834,16304
10,2022-08-06,50091,212
13,2022-08-06,72968,451
12,2022-08-06,117142,472
11,2022-08-06,47694,51
60,2022-08-06,4738,29
61,2022-08-06,11511,22
62,2022-08-06,3531,7
99,2022-08-06,13,0
1,2022-08-06,4111003,43561
59,2022-08-13,381049,4037
48,2022-08-13,598954,4741
47,2022-08-13,141815,1479
46,2022-08-13,147329,2093
35,2022-08-13,1392435,13829
24,2022-08-13,1163092,16396
10,2022-08-13,50430,219
13,2022-08-13,73643,456
12,2022-08-13,118671,481
11,2022-08-13,48353,52
60,2022-08-13,4771,30
61,2022-08-13,11511,22
62,2022-08-13,3531,7
99,2022-08-13,13,0
1,2022-08-13,4135597,43842
59,2022-08-20,381788,4097
48,2022-08-20,600483,4776
47,2022-08-20,142298,1491
46,2022-08-20,147806,2105
35,2022-08-20,1402243,13897
24,2022-08-20,1169967,16494
10,2022-08-20,50810,223
13,2022-08-20,74440,462
12,2022-08-20,120055,490
11,2022-08-20,49063,53
60,2022-08-20,4798,30
61,2022-08-20,11511,22
62,2022-08-20,3531,7
99,2022-08-20,13,0
1,2022-08-20,4158806,44147
59,2022-08-27,382436,4145
48,2022-08-27,601883,4803
47,2022-08-27,142781,1503
46,2022-08-27,148428,2115
35,2022-08-27,1411638,13986
24,2022-08-27,1175594,16583
10,2022-08-27,51111,227
13,2022-08-27,75152,466
12,2022-08-27,121380,496
11,2022-08-27,49834,54
60,2022-08-27,4817,30
61,2022-08-27,11511,22
62,2022-08-27,3531,7
99,2022-08-27,13,0
1,2022-08-27,4180109,44437
59,2022-09-03,383054,4183
48,2022-09-03,603020,4840
47,2022-09-03,143264,1515
46,2022-09-03,148903,2118
35,2022-09-03,1420322,14081
24,2022-09-03,1180633,16644
10,2022-09-03,51329,231
13,2022-09-03,75741,472
12,2022-09-03,122458,504
11,2022-09-03,50404,56
60,2022-09-03,4839,30
61,2022-09-03,11511,22
62,2022-09-03,3531,7
99,2022-09-03,13,0
1,2022-09-03,4199022,44703
59,2022-09-10,383628,4216
48,2022-09-10,604064,4861
47,2022-09-10,143747,1527
46,2022-09-10,149245,2137
35,2022-09-10,1427618,14162
24,2022-09-10,1185591,16694
10,2022-09-10,51446,235
13,2022-09-10,76316,476
12,2022-09-10,123549,518
11,2022-09-10,50855,57
60,2022-09-10,4859,30
61,2022-09-10,11511,22
62,2022-09-10,3531,7
99,2022-09-10,13,0
1,2022-09-10,4215973,44942
59,2022-09-17,384266,4253
48,2022-09-17,605310,4888
47,2022-09-17,144235,1543
46,2022-09-17,149622,2143
35,2022-09-17,1435743,14243
24,2022-09-17,1190550,16740
10,2022-09-17,51580,236
13,2022-09-17,76902,480
12,2022-09-17,124511,531
11,2022-09-17,51256,59
60,2022-09-17,4867,31
61,2022-09-17,11511,22
62,2022-09-17,3531,7
99,2022-09-17,13,0
1,2022-09-17,4233897,45176
59,2022-09-24,384900,4283
48,2022-09-24,606721,4917
47,2022-09-24,144704,1550
46,2022-09-24,149908,2160
35,2022-09-24,1444227,14312
24,2022-09-24,1196119,16775
10,2022-09-24,51743,239
13,2022-09-24,77460,485
12,2022-09-24,125474,541
11,2022-09-24,51604,60
60,2022-09-24,4891,31
61,2022-09-24,11511,22
62,2022-09-24,3531,7
99,2022-09-24,13,0
1,2022-09-24,4252806,45382
59,2022-10-01,385599,4321
48,2022-10-01,608111,4949
47,2022-10-01,145260,1565
46,2022-10-01,150213,2177
35,2022-10-01,1453370,14369
24,2022-10-01,1202185,16827
10,2022-10-01,51955,243
13,2022-10-01,78056,490
12,2022-10-01,126598,544
11,2022-10-01,51919,61
60,2022-10-01,4908,31
61,2022-10-01,11511,22
62,2022-10-01,3531,7
99,2022-10-01,13,0
1,2022-10-01,4273229,45606
59,2022-10-08,386293,4370
48,2022-10-08,609479,4983
47,2022-10-08,145734,1586
46,2022-10-08,150554,2190
35,2022-10-08,1462015,14457
24,2022-10-08,1208538,16887
10,2022-10-08,52111,246
13,2022-10-08,78687,493
12,2022-10-08,127608,552
11,2022-10-08,52229,63
60,2022-10-08,4923,31
61,2022-10-08,11511,22
62,2022-10-08,3531,7
99,2022-10-08,13,0
1,2022-10-08,4293226,45887
59,2022-10-15,386920,4423
48,2022-10-15,610797,5016
47,2022-10-15,146222,1599
46,2022-10-15,150957,2199
35,2022-10-15,1471704,14522
24,2022-10-15,1215148,16943
10,2022-10-15,52335,250
13,2022-10-15,79434,576
12,2022-10-15,128714,567
11,2022-10-15,52683,64
60,2022-10-15,4929,31
61,2022-10-15,11511,22
62,2022-10-15,3531,7
99,2022-10-15,13,0
1,2022-10-15,4314898,46219
59,2022-10-22,387451,4485
48,2022-10-22,612204,5056
47,2022-10-22,146888,1628
46,2022-10-22,151319,2211
35,2022-10-22,1482037,14639
24,2022-10-22,1221216,17015
10,2022-10-22,52552,254
13,2022-10-22,80126,585
12,2022-10-22,129705,583
11,2022-10-22,53199,66
60,2022-10-22,4941,31
61,2022-10-22,11511,22
62,2022-10-22,3531,7
99,2022-10-22,13,0
1,2022-10-22,4336693,46582
59,2022-10-29,387936,4525
48,2022-10-29,613546,5099
47,2022-10-29,147688,1648
46,2022-10-29,151730,2232
35,2022-10-29,1492399,14765
24,2022-10-29,1227198,17097
10,2022-10-29,52802,257
13,2022-10-29,80715,592
12,2022-10-29,130534,598
11,2022-10-29,53561,69
60,2022-10-29,4954,32
61,2022-10-29,11511,22
62,2022-10-29,3531,7
99,2022-10-29,13,0
1,2022-10-29,4358118,46943
59,2022-11-05,388497,4552
48,2022-11-05,614942,5135
47,2022-11-05,148288,1678
46,2022-11-05,152072,2256
35,2022-11-05,1500910,14893
24,2022-11-05,1232907,17169
10,2022-11-05,52973,262
13,2022-11-05,81269,599
12,2022-11-05,131239,613
11,2022-11-05,53797,72
60,2022-11-05,4974,32
61,2022-11-05,11511,22
62,2022-11-05,3531,7
99,2022-11-05,13,0
1,2022-11-05,4376923,47290
59,2022-11-12,388984,4607
48,2022-11-12,616255,5175
47,2022-11-12,148736,1691
46,2022-11-12,152345,2261
35,2022-11-12,1507773,15016
24,2022-11-12,1238188,17219
10,2022-11-12,53150,268
13,2022-11-12,81787,603
12,2022-11-12,131825,628
11,2022-11-12,53977,74
60,2022-11-12,4989,32
61,2022-11-12,11511,22
62,2022-11-12,3531,7
99,2022-11-12,13,0
1,2022-11-12,4393064,47603
59,2022-11-19,389479,4642
48,2022-11-19,617631,5233
47,2022-11-19,149189,1719
46,2022-11-19,152659,2277
35,2022-11-19,1513503,15127
24,2022-11-19,1243512,17279
10,2022-11-19,53299,271
13,2022-11-19,82223,609
12,2022-11-19,132351,639
11,2022-11-19,54257,76
60,2022-11-19,4989,32
61,2022-11-19,11511,22
62,2022-11-19,3531,7
99,2022-11-19,13,0
1,2022-11-19,4408147,47933
59,2022-11-26,390087,4680
48,2022-11-26,618995,5276
47,2022-11-26,149678,1740
46,2022-11-26,152940,2293
35,2022-11-26,1518273,15208
24,2022-11-26,1249701,17340
10,2022-11-26,53465,275
13,2022-11-26,82819,615
12,2022-11-26,132887,653
11,2022-11-26,54559,79
60,2022-11-26,4989,32
61,2022-11-26,11511,22
62,2022-11-26,3531,7
99,2022-11-26,13,0
1,2022-11-26,4423448,48220
59,2022-12-03,390626,4715
48,2022-12-03,620148,5318
47,2022-12-03,150139,1763
46,2022-12-03,153194,2301
35,2022-12-03,1524410,15301
24,2022-12-03,1256998,17399
10,2022-12-03,53635,278
13,2022-12-03,83425,621
12,2022-12-03,133406,666
11,2022-12-03,54870,81
60,2022-12-03,4989,32
61,2022-12-03,11511,22
62,2022-12-03,3531,7
99,2022-12-03,13,0
1,2022-12-03,4440895,48504
59,2022-12-10,391285,4760
48,2022-12-10,621194,5345
47,2022-12-10,150566,1779
46,2022-12-10,153349,2305
35,2022-12-10,1530007,15407
24,2022-12-10,1264374,17481
10,2022-12-10,53785,282
13,2022-12-10,84244,628
12,2022-12-10,133919,672
11,2022-12-10,55111,81
60,2022-12-10,4989,32
61,2022-12-10,11511,22
62,2022-12-10,3531,7
99,2022-12-10,13,0
1,2022-12-10,4457878,48801
59,2022-12-17,391897,4806
48,2022-12-17,622157,5376
47,2022-12-17,150942,1800
46,2022-12-17,153507,2331
35,2022-12-17,1536016,15470
24,2022-12-17,1272121,17555
10,2022-12-17,53914,288
13,2022-12-17,84891,722
12,2022-12-17,134483,674
11,2022-12-17,55319,82
60,2022-12-17,4989,32
61,2022-12-17,11511,22
62,2022-12-17,3531,7
99,2022-12-17,13,0
1,2022-12-17,4475291,49165
59,2022-12-24,392453,4883
48,2022-12-24,622980,5404
47,2022-12-24,151268,1807
46,2022-12-24,153650,2369
35,2022-12-24,1543300,15537
24,2022-12-24,1279229,17640
10,2022-12-24,54010,288
13,2022-12-24,84891,722
12,2022-12-24,135141,682
11,2022-12-24,55517,82
60,2022-12-24,4989,32
61,2022-12-24,11511,22
62,2022-12-24,3531,7
99,2022-12-24,13,0
1,2022-12-24,4492483,49475
59,2022-12-31,393145,4896
48,2022-12-31,623849,5429
47,2022-12-31,151570,1822
46,2022-12-31,153784,2369
35,2022-12-31,1549124,15606
24,2022-12-31,1285210,17708
10,2022-12-31,54113,292
13,2022-12-31,85897,740
12,2022-12-31,135956,691
11,2022-12-31,55679,82
60,2022-12-31,4989,32
61,2022-12-31,11511,22
62,2022-12-31,3531,7
99,2022-12-31,13,0
1,2022-12-31,4508371,49696
59,2023-01-07,393804,4961
48,2023-01-07,624817,5452
47,2023-01-07,151941,1833
46,2023-01-07,153919,2394
35,2023-01-07,1556580,15712
24,2023-01-07,1290685,17773
10,2023-01-07,54255,292
13,2023-01-07,86418,749
12,2023-01-07,136944,699
11,2023-01-07,55825,83
60,2023-01-07,4989,32
61,2023-01-07,11511,22
62,2023-01-07,3531,7
99,2023-01-07,13,0
1,2023-01-07,4525232,50009
59,2023-01-14,394366,5007
48,2023-01-14,625746,5483
47,2023-01-14,152258,1845
46,2023-01-14,154041,2403
35,2023-01-14,1562813,15794
24,2023-01-14,1295078,17839
10,2023-01-14,54332,296
13,2023-01-14,86851,762
12,2023-01-14,137669,705
11,2023-01-14,55985,85
60,2023-01-14,4989,32
61,2023-01-14,11511,22
62,2023-01-14,3531,7
99,2023-01-14,13,0
1,2023-01-14,4539183,50280
59,2023-01-21,394774,5061
48,2023-01-21,626413,5514
47,2023-01-21,152531,1857
46,2023-01-21,154100,2418
35,2023-01-21,1567935,15872
24,2023-01-21,1298709,17902
10,2023-01-21,54412,296
13,2023-01-21,87172,773
12,2023-01-21,138331,715
11,2023-01-21,56136,85
60,2023-01-21,4989,32
61,2023-01-21,11511,22
62,2023-01-21,3531,7
99,2023-01-21,13,0
1,2023-01-21,4550557,50554
59,2023-01-28,395070,5106
48,2023-01-28,627015,5541
47,2023-01-28,152773,1867
46,2023-01-28,154196,2428
35,2023-01-28,1572917,15935
24,2023-01-28,1301772,17944
10,2023-01-28,54473,304
13,2023-01-28,87435,781
12,2023-01-28,139013,724
11,2023-01-28,56201,88
60,2023-01-28,4989,32
61,2023-01-28,11511,22
62,2023-01-28,3531,7
99,2023-01-28,13,0
1,2023-01-28,4560909,50779